country,iso_alpha3,whostandard,natstandard,population,pm_1998,pm_1999,pm_2000,pm_2001,pm_2002,pm_2003,pm_2004,pm_2005,pm_2006,pm_2007,pm_2008,pm_2009,pm_2010,pm_2011,pm_2012,pm_2013,pm_2014,pm_2015,pm_2016,pm_2017,pm_2018,llpp_who_1998,llpp_who_1999,llpp_who_2000,llpp_who_2001,llpp_who_2002,llpp_who_2003,llpp_who_2004,llpp_who_2005,llpp_who_2006,llpp_who_2007,llpp_who_2008,llpp_who_2009,llpp_who_2010,llpp_who_2011,llpp_who_2012,llpp_who_2013,llpp_who_2014,llpp_who_2015,llpp_who_2016,llpp_who_2017,llpp_who_2018,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018
Nigeria,NGA,10,0,208379440,42.900002,27.92,36.27,28.450001,30.23,32.200001,41.639999,39.959999,29.549999,37.52,35.509998,33.41,42.900002,31.120001,38.599998,27.68,27.91,30.68,31.719999,29.75,39.790001,3.22,1.8200001,2.5999999,1.87,2,2.1900001,3.1099999,2.9400001,1.92,2.71,2.52,2.29,3.22,2.0899999,2.8,1.76,1.78,2.03,2.1300001,1.97,2.9200001,,,,,,,,,,,,,,,,,,,,,
Nicaragua,NIC,10,0,6135877,8.2600002,8.6999998,8.1800003,9.3199997,7.5999999,8.4099998,6.0100002,9.6499996,5.9699998,8.79,7.4000001,8.1899996,8.2600002,9.1899996,8.8999996,9.2200003,8.8800001,9.8900003,9.4799995,7.71,7.8299999,.0099999998,.0099999998,.0099999998,.029999999,0,.0099999998,0,.050000001,0,.0099999998,0,.0099999998,.0099999998,.039999999,.0099999998,.039999999,.02,.079999998,.039999999,0,0,,,,,,,,,,,,,,,,,,,,,
Niue,NIU,10,0,1864,.67000002,.68000001,.63,.56,.64999998,.75,.72000003,.81,.72000003,.52999997,.75,.69,.67000002,.62,.55000001,.69,.75,.63999999,.83999997,.72000003,.72000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Netherlands,NLD,10,25,17179625,18.42,18.68,20.290001,17.049999,19.07,20.51,18.809999,16.540001,17.75,15.73,15.87,15.84,18.42,17.02,15.52,13.91,13.94,13.94,14.3,14.22,13.41,.82999998,.85000002,1.01,.69,.88999999,1.03,.86000001,.63999999,.75999999,.56,.57999998,.56999999,.82999998,.69,.54000002,.38,.38999999,.38999999,.41999999,.41,.33000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,NOR,10,15,5295934,5.1900001,9.3199997,9.4300003,6.4000001,7.5799999,7.4899998,5.6300001,5.3000002,6.96,5.0599999,4.7800002,6.48,5.1900001,6.3099999,5.27,4.48,5.6300001,4.46,4.5500002,4.2600002,5.5,.0099999998,.15000001,.13,.029999999,.039999999,.039999999,.0099999998,.0099999998,.029999999,.0099999998,.0099999998,.029999999,.0099999998,.02,.0099999998,.0099999998,.0099999998,.0099999998,.0099999998,.0099999998,.0099999998,.0099999998,.029999999,.02,.0099999998,.0099999998,.0099999998,.0099999998,.0099999998,.0099999998,.0099999998,0,.0099999998,.0099999998,.0099999998,.0099999998,0,.0099999998,0,.0099999998,.0099999998,.0099999998
Nepal,NPL,10,0,30033957,56.560001,39.560001,42.450001,53.189999,54.73,48.509998,50.07,44.59,47.43,51.880001,52.150002,61.950001,56.560001,58.68,69.279999,58.220001,60.009998,58.990002,64.580002,58.77,62,4.5599999,2.9000001,3.1800001,4.23,4.3800001,3.77,3.9300001,3.3900001,3.6700001,4.0999999,4.1300001,5.0900002,4.5599999,4.77,5.8099999,4.73,4.9000001,4.8000002,5.3499999,4.7800002,5.0999999,,,,,,,,,,,,,,,,,,,,,
Nauru,NRU,10,0,5885,.50999999,.62,.66000003,.63999999,.76999998,.64999998,.58999997,.80000001,.63999999,.62,.60000002,.63999999,.50999999,.55000001,.62,.70999998,.56,.73000002,.64999998,.63999999,.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,10,0,4854716,2.4400001,2.5799999,2.4100001,2.6199999,2.46,2.3099999,2.1300001,2.3299999,2.1400001,2.24,2.3,2.0599999,2.4400001,2.3399999,2.22,2.52,2.04,2.1199999,2.1500001,2.6700001,2.5599999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Oman,OMN,10,0,3565444,17.610001,19.030001,22.17,17.379999,21.290001,15.56,18.16,18.780001,25.549999,17.08,27.16,25.620001,17.610001,25.370001,33.189999,24.01,16.530001,23.52,17.889999,19.459999,20.93,.75,.88999999,1.1900001,.72000003,1.11,.54000002,.80000001,.86000001,1.52,.69,1.6799999,1.53,.75,1.51,2.27,1.37,.63999999,1.33,.76999998,.93000001,1.0700001,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,10,15,228525745,44.639999,37.720001,41.529999,42.639999,48.84,39.98,44.040001,36.720001,41.919998,37.73,43.27,43.900002,44.639999,47.77,52.25,48.23,44.130001,46.849998,48.830002,47.060001,53.599998,3.3900001,2.72,3.0899999,3.2,3.8099999,2.9400001,3.3399999,2.6199999,3.1300001,2.72,3.26,3.3199999,3.3900001,3.7,4.1399999,3.75,3.3399999,3.6099999,3.8099999,3.6300001,4.27,2.9100001,2.23,2.5999999,2.71,3.3199999,2.45,2.8499999,2.1300001,2.6400001,2.23,2.77,2.8299999,2.9100001,3.21,3.6500001,3.26,2.8599999,3.1199999,3.3199999,3.1400001,3.78
Panama,PAN,10,0,3846852,8.5900002,8.9899998,9.4399996,7.4299998,6.0300002,8.9200001,6.9899998,9.1599998,8.71,9.4099998,8.8000002,6.8899999,8.5900002,7.3699999,7.8899999,7.48,8.9200001,8.9399996,7.7800002,7.4099998,8.5900002,.02,.039999999,.07,0,0,.039999999,.0099999998,.059999999,.029999999,.07,.029999999,0,.02,0,0,0,.029999999,.029999999,0,0,.02,,,,,,,,,,,,,,,,,,,,,
Peru,PER,10,15,31584174,34.139999,35.810001,35.779999,35.91,35.869999,34.93,33.84,33.080002,30.719999,32.470001,31.01,32.919998,34.139999,33.18,33.009998,32.18,32.610001,33.48,33.639999,32.450001,32.400002,2.4100001,2.6300001,2.6400001,2.6099999,2.6099999,2.5699999,2.47,2.3599999,2.1700001,2.29,2.2,2.3099999,2.4100001,2.3299999,2.3099999,2.25,2.29,2.3499999,2.3599999,2.25,2.25,2.0999999,2.3499999,2.3599999,2.3199999,2.3199999,2.3,2.1900001,2.0699999,1.9,2.01,1.9299999,2.02,2.0999999,2.05,2.02,1.97,2.01,2.03,2.05,1.9400001,1.97
Philippines,PHL,10,25,107503168,10.81,15.31,15.88,9.6400003,10.33,11.97,13.59,13.73,14.21,12.86,12.42,12.34,10.81,10.77,10.4,9.9799995,10.01,9.6000004,8.5900002,8.8999996,10.19,.36000001,.76999998,.81,.20999999,.2,.40000001,.5,.58999997,.56999999,.5,.51999998,.36000001,.36000001,.33000001,.28999999,.25999999,.20999999,.15000001,.16,.15000001,.28,.0099999998,.23999999,.25999999,0,0,.02,.050000001,.12,.1,.079999998,.11,0,.0099999998,0,0,0,0,0,0,0,0
Palau,PLW,10,0,21452,.75999999,.92000002,1.05,1.6900001,3.1300001,1.77,2.5999999,1.34,2.29,1.24,.61000001,2.8699999,.75999999,1.33,1.3200001,1.4299999,1.76,3.1500001,1.25,.92000002,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,PNG,10,0,6959608,6.5500002,4.8299999,6.0999999,4.3600001,4.6500001,4.52,5,4.3600001,4.6399999,5.04,5.73,4.9400001,6.5500002,5.6100001,5.2600002,5.52,5.1799998,6.4099998,5.7399998,5.5,5.7600002,.0099999998,0,.029999999,0,0,0,0,0,0,0,.0099999998,0,.0099999998,.0099999998,0,0,0,.0099999998,.0099999998,.0099999998,0,,,,,,,,,,,,,,,,,,,,,
Poland,POL,10,25,38334040,29.18,28.389999,26.469999,23.98,29.65,25.219999,21.459999,25.219999,27.08,22.940001,19,23.77,29.18,24.18,22.25,22.299999,20.690001,20.41,20.65,20.290001,19.25,1.88,1.8,1.61,1.37,1.9299999,1.49,1.12,1.49,1.67,1.27,.88,1.35,1.88,1.39,1.2,1.21,1.05,1.02,1.04,1.01,.91000003,.47,.40000001,.25,.15000001,.5,.17,.02,.20999999,.31999999,.090000004,0,.12,.47,.14,.050000001,.059999999,0,.0099999998,.02,0,0
Puerto Rico,PRI,10,15,3240261,3.5999999,2.6400001,4.3600001,2.8299999,2.48,2.76,2.5,2.6900001,2.8399999,3.0999999,2.4000001,2.96,3.5999999,2.1500001,3.71,2.3299999,2.6500001,3.4000001,3.23,2.4300001,2.1800001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea,PRK,10,0,25523566,20.370001,18.15,20.440001,24.59,19.84,24.9,23.290001,21.969999,25.17,22.93,23.41,25.32,20.370001,25.42,22.139999,25.75,25.639999,27.76,24.98,24.059999,22.09,1.02,.80000001,1.02,1.4299999,.95999998,1.46,1.3,1.17,1.49,1.27,1.3099999,1.5,1.02,1.51,1.1900001,1.54,1.53,1.74,1.47,1.38,1.1900001,,,,,,,,,,,,,,,,,,,,,
Portugal,PRT,10,25,10328096,5.3699999,9,7.7600002,7.98,7.9499998,8.54,7.52,7.5700002,6.9699998,8.1400003,5.5100002,6.4400001,5.3699999,6.9699998,5.7399998,5.5100002,4.5700002,5.46,5.5300002,6.0100002,5.02,0,.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,PRY,10,15,7098134,7.5500002,10.28,6.79,7.98,10.72,8.9300003,8.4399996,8.3599997,7.5300002,11.25,6.75,6.98,7.5500002,7.4000001,7.8200002,6.4000001,6.8099999,9.04,7.5,7.7399998,7.48,0,.090000004,0,.0099999998,.12,.02,.0099999998,.0099999998,0,.15000001,0,0,0,0,.0099999998,0,0,.029999999,0,.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestina,PSE,10,0,4750275,9.8299999,10.93,11.56,11.96,9.29,10.12,10.26,9.8100004,15.09,10.68,11.39,10.09,9.8299999,13.15,13.28,13.22,11.44,14.75,10.18,10.58,14.44,.0099999998,.1,.15000001,.19,0,.050000001,.059999999,.02,.5,.07,.14,.039999999,.0099999998,.31,.31999999,.31999999,.14,.47,.039999999,.059999999,.43000001,,,,,,,,,,,,,,,,,,,,,
French Polynesia,PYF,10,0,231808,.86000001,.81999999,.79000002,.82999998,1.0700001,.86000001,.88999999,1.04,.83999997,.88,.75999999,.77999997,.86000001,.68000001,.57999998,.74000001,.75999999,.70999998,.79000002,.74000001,.77999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,10,0,2406879,31.200001,22.76,32.189999,19.469999,25.370001,22.540001,22.870001,26.940001,32.740002,28.09,39.189999,37.040001,31.200001,29.85,46.189999,31.709999,25.98,40.799999,23.860001,31.940001,36.009998,2.0799999,1.25,2.1700001,.93000001,1.51,1.23,1.26,1.66,2.23,1.77,2.8599999,2.6500001,2.0799999,1.95,3.55,2.1300001,1.5700001,3.02,1.36,2.1500001,2.55,,,,,,,,,,,,,,,,,,,,,
Reunion,REU,10,0,865765,1.54,1.26,1.4299999,1.39,1.3200001,1.49,1.54,2.1099999,1.4400001,1.6799999,1.5599999,1.42,1.54,1.59,1.58,1.79,1.58,1.6,1.48,1.52,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Romania,ROU,10,25,21385457,16.66,23.879999,20.43,18.9,22.09,19.629999,16.75,18.66,19.18,15.52,13.63,17.889999,16.66,20.799999,17.82,16.16,13.84,15.69,15.54,13.94,12.97,.64999998,1.36,1.02,.87,1.1900001,.94,.66000003,.85000002,.89999998,.54000002,.36000001,.76999998,.64999998,1.0599999,.76999998,.60000002,.38,.56,.54000002,.38999999,.28999999,0,.11,.0099999998,0,.02,.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,RUS,10,25,141660513,15.85,16.15,15.78,14.44,15.74,14.71,13.46,13.12,15.67,12.61,13.54,13.23,15.85,12.78,12.73,12.21,13.68,12.21,13.29,11.83,11.55,.62,.62,.58999997,.46000001,.58999997,.5,.38,.36000001,.57999998,.31,.38,.37,.62,.30000001,.31,.25999999,.38999999,.27000001,.36000001,.23999999,.2,.029999999,.02,0,0,.0099999998,.0099999998,0,0,0,0,0,0,.029999999,0,0,0,0,0,0,0,0
Rwanda,RWA,10,0,12452755,22.299999,20.870001,25.5,25.26,24.620001,19.879999,23.639999,21.299999,19.040001,24.02,23.49,22.83,22.299999,24.98,29.200001,24.85,23.780001,26.280001,26.809999,20.129999,20.030001,1.21,1.0700001,1.52,1.5,1.4299999,.97000003,1.34,1.11,.88999999,1.37,1.3200001,1.26,1.21,1.47,1.88,1.46,1.35,1.6,1.65,.99000001,.98000002,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,SAU,10,15,33663712,22.43,16.799999,20.74,13.9,16.93,16.65,14.33,17.59,21.459999,20.889999,25.08,23.75,22.43,23.940001,32.759998,22.58,20.540001,27.459999,20.27,25.969999,27.120001,1.22,.69,1.0700001,.41,.69,.66000003,.44999999,.75,1.12,1.0700001,1.48,1.35,1.22,1.37,2.23,1.23,1.04,1.71,1.02,1.5700001,1.6799999,.75999999,.34,.66000003,.13,.28999999,.27000001,.14,.37,.68000001,.62,1.02,.88999999,.75999999,.89999998,1.74,.76999998,.60000002,1.23,.57999998,1.09,1.2
Sudan,SDN,10,0,44340186,15.4,10.51,9.1099997,7.8400002,9.3100004,8.0799999,7.48,9.0200005,11.27,10.9,9.3999996,11.98,15.4,10.96,14.26,9.1099997,9.7299995,11.56,11.46,11.83,13.7,.52999997,.14,.079999998,.039999999,.090000004,.050000001,.02,.07,.2,.19,.1,.25999999,.52999997,.17,.41999999,.07,.11,.17,.2,.27000001,.38,,,,,,,,,,,,,,,,,,,,,
Senegal,SEN,10,0,15359769,9.3400002,9.2799997,8.1000004,6.8699999,6.6100001,7.3000002,6.5900002,8.7200003,6.79,8.1300001,7.8000002,9.46,9.3400002,6.8000002,11.58,8.6599998,8.4300003,8.4399996,7.3400002,5.9899998,6.9299998,.1,.090000004,.029999999,.02,.029999999,.029999999,.039999999,.079999998,.029999999,.050000001,.050000001,.12,.1,.039999999,.23999999,.07,.090000004,.059999999,.029999999,.02,.029999999,,,,,,,,,,,,,,,,,,,,,
Singapore,SGP,10,12,6095272,36.439999,73.290001,79.550003,70.169998,60.34,41.610001,38.75,45.099998,68,47.23,38.970001,45.889999,36.439999,41.650002,48.77,52.799999,43.5,55.970001,39.009998,43.330002,40.16,2.5899999,6.1999998,6.8200002,5.9000001,4.9299998,3.0999999,2.8199999,3.4400001,5.6799998,3.6500001,2.8399999,3.52,2.5899999,3.0999999,3.8,4.1900001,3.28,4.5100002,2.8399999,3.27,2.96,2.3900001,6.0100002,6.6199999,5.6999998,4.7399998,2.9000001,2.6199999,3.24,5.4899998,3.45,2.6400001,3.3199999,2.3900001,2.9100001,3.5999999,4,3.0899999,4.3099999,2.6500001,3.0699999,2.76
Saint Helena,SHN,10,0,45209,2.71,1.83,2.5699999,2.0699999,1.61,1.83,1.8200001,1.8099999,1.77,2,1.66,1.73,2.71,1.49,2.7,1.34,1.72,2.1600001,2.26,1.4400001,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,SLB,10,0,526637,2.0699999,1.11,1.3,1.38,1.73,1.42,1.4400001,1.27,1.86,2.02,1.46,2.01,2.0699999,1.9400001,2,2.3199999,2.49,2.48,2.79,2.5599999,2.5999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,SLE,10,0,6468486,22.49,23.139999,22.889999,18.610001,19.440001,20.540001,26.190001,26.700001,17.370001,22.549999,21.02,22.860001,22.49,23.120001,25.639999,18.85,21.92,21.059999,22.92,17.17,21.58,1.22,1.29,1.26,.83999997,.92000002,1.03,1.59,1.64,.72000003,1.23,1.08,1.26,1.22,1.29,1.53,.87,1.17,1.08,1.27,.69999999,1.13,,,,,,,,,,,,,,,,,,,,,
El Salvador,SLV,10,15,6410909,10.57,15.82,18.18,11.56,10.32,11.65,8.46,10.94,9.5799999,12.2,11.23,12.03,10.57,14.18,12.53,13.48,11.32,13.46,10.95,10.84,12.66,.090000004,.56999999,.80000001,.15000001,.059999999,.16,0,.1,.029999999,.22,.13,.2,.090000004,.41,.25,.34,.13,.34,.11,.11,.25999999,0,.11,.31,0,0,0,0,0,0,0,0,0,0,.050000001,.0099999998,.029999999,0,.02,0,0,0
San Marino,SMR,10,0,34474,10.6,21.58,17.469999,13.8,14.12,16.25,11.89,16.450001,16.09,12.42,11.02,14.69,10.6,14.94,13.11,13.31,9.3299999,14.37,10.52,10.69,12.29,.059999999,1.13,.73000002,.37,.40000001,.61000001,.19,.63,.60000002,.23999999,.1,.46000001,.059999999,.47999999,.30000001,.31999999,0,.43000001,.050000001,.07,.22,,,,,,,,,,,,,,,,,,,,,
Somalia,SOM,10,0,11479544,7.5900002,7.5599999,9.3800001,8.0299997,8.6899996,7.98,8.5900002,6.3600001,8.8999996,7.4299998,7.79,9.6999998,7.5900002,9.3199997,12.38,8.9399996,7.6500001,9.2299995,7.9699998,7.4400001,10.16,.050000001,.079999998,.20999999,.090000004,.16,.1,.14,.050000001,.19,.079999998,.090000004,.22,.050000001,.19,.41,.17,.07,.16,.090000004,.07,.27000001,,,,,,,,,,,,,,,,,,,,,
Saint Pierre and Miquelon,SPM,10,0,23376,2.9100001,2.5999999,2.99,4.1199999,2.0699999,2.04,2.1400001,2.3599999,1.73,2.8900001,2.1199999,1.84,2.9100001,1.62,3.04,1.77,2.0899999,2.21,2.99,1.61,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Serbia,SRB,10,25,7071520,20.51,27.25,21.6,21.129999,21.84,21.299999,16.469999,21.82,20.9,17.379999,15.3,19.23,20.51,24.540001,21.32,19.639999,15.77,20.08,17.66,16.35,16.4,1.03,1.6900001,1.14,1.09,1.16,1.11,.63,1.16,1.0700001,.72000003,.51999998,.89999998,1.03,1.4299999,1.11,.94,.56999999,.99000001,.75,.62,.63,.0099999998,.28999999,0,0,.0099999998,0,0,.0099999998,.0099999998,0,0,0,.0099999998,.079999998,.0099999998,0,0,0,0,0,0
South Sudan,SSD,10,0,10293548,19.26,18.15,17.1,13.16,15.91,15.96,14.1,16.26,15.47,16.610001,14,18.16,19.26,17.16,19.57,15.39,14.97,18.959999,18.709999,17.059999,19.860001,.91000003,.80000001,.69999999,.31999999,.57999998,.57999998,.41,.62,.54000002,.64999998,.38999999,.80000001,.91000003,.69999999,.94,.52999997,.49000001,.88,.85000002,.69,.97000003,,,,,,,,,,,,,,,,,,,,,
São Tomé and Príncipe,STP,10,0,193622,12.15,10.67,15.17,13.37,15.44,15.42,13.61,15.91,11.08,13.83,13.88,11.2,12.15,13.23,9.6800003,11.22,8.8999996,13.62,16.41,10.54,10.62,.20999999,.07,.50999999,.33000001,.52999997,.52999997,.34999999,.57999998,.11,.38,.38,.12,.20999999,.31999999,.0099999998,.12,.0099999998,.34999999,.63,.050000001,.059999999,,,,,,,,,,,,,,,,,,,,,
Suriname,SUR,10,0,620729,7.79,14.69,15.11,9.2799997,6.1199999,7.9099998,7.4699998,8.1000004,9.4300003,10.43,10.46,6.5500002,7.79,4.6599998,12.05,4.6300001,5.1900001,6.0700002,8.2600002,5.4699998,8.5500002,0,.46000001,.5,0,0,0,0,0,.0099999998,.050000001,.050000001,0,0,0,.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Slovakia,SVK,10,25,5446854,20.91,26.049999,21.870001,21.639999,24.26,21.799999,18.65,22.48,22.780001,18.120001,15.15,20.129999,20.91,21.940001,19.41,19.530001,15.85,19.08,17.959999,16.049999,15.54,1.0700001,1.5700001,1.16,1.14,1.4,1.16,.85000002,1.22,1.25,.80000001,.5,.99000001,1.0700001,1.17,.92000002,.93000001,.56999999,.88999999,.77999997,.58999997,.54000002,0,.14,0,.0099999998,.050000001,0,0,.0099999998,.02,0,0,0,0,.0099999998,0,0,0,0,0,0,0
Slovenia,SVN,10,0,2071887,14.24,24.33,20.120001,16.549999,18.719999,17.41,14.48,18.6,18.15,13.37,13.21,16.25,14.24,16.58,14.14,15.8,12.65,15.07,13.84,11.82,15.29,.41999999,1.4,.99000001,.63999999,.85000002,.73000002,.44,.83999997,.80000001,.33000001,.31,.61000001,.41999999,.64999998,.41,.56999999,.25999999,.5,.38,.18000001,.51999998,,,,,,,,,,,,,,,,,,,,,
Sweden,SWE,10,25,10097961,8.3100004,11.83,11.38,7.23,8.5299997,9.4300003,7.2199998,7.8899999,9.5500002,7.3299999,6.5500002,7.6100001,8.3100004,8,6.0599999,6.4000001,8.1599998,5.9299998,5.6700001,5.9200001,7.3299999,.050000001,.23,.20999999,.0099999998,.039999999,.090000004,.0099999998,.02,.079999998,.02,0,.0099999998,.050000001,.039999999,0,0,.02,0,0,0,.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland,SWZ,10,0,1100979,10.17,10.92,11.89,8.8699999,7.7399998,7.3899999,8.5799999,9,9.0500002,8.1800003,9.5500002,8.8299999,10.17,9.0500002,9.4700003,9.2700005,9.2200003,9.6199999,8,9.1899996,9.29,.029999999,.1,.19,0,0,0,0,0,0,0,.0099999998,0,.029999999,0,0,0,0,.0099999998,0,0,0,,,,,,,,,,,,,,,,,,,,,
Sint Maarten,SXM,10,0,43645,3.04,1.92,2.8,2.27,1.63,1.9,1.9400001,1.95,1.9400001,2.1099999,1.74,1.92,3.04,1.62,3.21,1.34,1.91,2.29,2.5,1.47,1.5700001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,10,0,83486,1.26,1.3200001,1.64,1.65,1.54,1.66,1.5700001,1.53,1.22,1.61,1.5,1.61,1.26,1.45,1.6,1.4299999,1.34,1.14,1.55,1.63,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Syria,SYR,10,0,19260833,11.54,11.28,11.39,12.04,10.53,10.23,10.45,12.12,15.7,12.48,12.23,12.07,11.54,15.53,15.13,15.17,12.52,16.15,12.76,11.94,15.23,.16,.16,.14,.2,.079999998,.059999999,.07,.20999999,.56,.23999999,.23,.20999999,.16,.54000002,.5,.50999999,.25,.60000002,.27000001,.19,.50999999,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,TCA,10,25,54725,3.46,3.1300001,4.4099998,3.1600001,2.72,3.02,3.4100001,3.1500001,3.1300001,3.5799999,2.79,3.27,3.46,2,3.3399999,2.3800001,2.99,2.8099999,2.5599999,2.3699999,2.6600001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,TCD,10,0,16381798,17.299999,12.57,14.57,10.74,13.02,12.98,15.23,15.41,13.26,15.8,14.12,17.040001,17.299999,14.53,20.24,14.91,12.99,17.9,17.129999,14.3,19.450001,.74000001,.46000001,.58999997,.31,.44,.46000001,.66000003,.63999999,.44999999,.69999999,.58999997,.75,.74000001,.62,1.02,.61000001,.44,.83999997,.77999997,.61000001,.95999998,,,,,,,,,,,,,,,,,,,,,
Togo,TGO,10,0,8412179,44.900002,29.5,40.150002,29.940001,35.419998,32.990002,44.450001,38.029999,33.029999,38.41,35.650002,33.150002,44.900002,33.720001,40.439999,26.75,28.450001,32.18,30.440001,25.84,39.09,3.4200001,1.91,2.95,1.95,2.49,2.25,3.3800001,2.75,2.26,2.78,2.51,2.27,3.4200001,2.3199999,2.98,1.64,1.8099999,2.1700001,2,1.55,2.8499999,,,,,,,,,,,,,,,,,,,,,
Thailand,THA,10,25,68776110,21.459999,18.059999,19.68,19.07,20.82,17.9,22.620001,21.139999,20.26,24.07,20.84,21.68,21.459999,21.68,21.52,24.219999,22.16,20.18,23.08,20.41,22.43,1.14,.81,.95999998,.89999998,1.0700001,.77999997,1.24,1.09,1.01,1.38,1.0700001,1.15,1.14,1.15,1.14,1.39,1.1900001,1,1.3,1.02,1.22,.090000004,.02,.07,.0099999998,.050000001,0,.079999998,.02,.02,.16,.059999999,.090000004,.090000004,.059999999,.079999998,.19,.050000001,.0099999998,.11,.0099999998,.079999998
Tajikistan,TJK,10,0,8725021,20.290001,25.66,37.759998,20.620001,23.379999,21.42,18.83,15.01,25.76,20.639999,28.459999,23.780001,20.290001,30.77,20.32,20.629999,23.379999,19.41,19,18.059999,25.83,1.01,1.54,2.72,1.04,1.3099999,1.12,.87,.49000001,1.54,1.04,1.8099999,1.35,1.01,2.04,1.01,1.04,1.3099999,.92000002,.88,.79000002,1.55,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,10,0,5445341,11.22,9.1099997,15.2,8.5100002,11.11,8.2600002,6.9400001,6.5,11.64,8.7200003,12.54,9.75,11.22,17.02,11.14,8.1499996,12.67,8.4499998,7.9299998,8.7799997,11.47,.14,.039999999,.52999997,.039999999,.14,.029999999,.02,.0099999998,.19,.059999999,.27000001,.1,.14,.69,.15000001,.029999999,.27000001,.029999999,.0099999998,.039999999,.2,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,TLS,10,0,1346525,6.7800002,8.7700005,6.3800001,8.6199999,7.6500001,6.5599999,7.9400001,6.0799999,7.29,8.04,8.3000002,8.8599997,6.7800002,9.54,9.4200001,7.27,10.01,8.9899998,7.6900001,8.46,9.3000002,0,.0099999998,0,.0099999998,0,0,.0099999998,0,0,.0099999998,.02,.02,0,.039999999,.029999999,0,.050000001,.02,0,.0099999998,.029999999,,,,,,,,,,,,,,,,,,,,,
Tonga,TON,10,0,102228,.86000001,.86000001,.88,.69999999,.81999999,.76999998,1.01,.99000001,.86000001,.73000002,1.78,.94,.86000001,.80000001,.76999998,.92000002,.81999999,.73000002,1,.86000001,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,10,15,1212387,2.26,2.26,2.1800001,2.6700001,1.91,1.99,1.67,1.72,1.53,2.28,1.83,1.4299999,2.26,1.5599999,2.6300001,1.49,1.74,2.1700001,2.74,1.65,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
